,clf__activation,clf__alpha,clf__hidden_layer_sizes,clf__learning_rate,clf__learning_rate_init,Accuracy
101,relu,0.0001,"(40,)",adaptive,0.0001,0.8131287741331897
102,relu,0.0001,"(50,)",constant,0.0001,0.8144583754650236
103,relu,0.0001,"(50,)",invscaling,0.0001,0.8146965455164006
104,relu,0.0001,"(50,)",adaptive,0.0001,0.8144186771751765
105,relu,0.0001,"(60,)",constant,0.0001,0.8148552953628364
106,relu,0.0001,"(60,)",invscaling,0.0001,0.814815557697578
107,relu,0.0001,"(60,)",adaptive,0.0001,0.815212477595391
108,relu,0.0001,"(70,)",constant,0.0001,0.8150537277489549
109,relu,0.0001,"(70,)",invscaling,0.0001,0.815133088890779
110,relu,0.0001,"(70,)",adaptive,0.0001,0.8149743154190962
111,relu,0.0001,"(80,)",constant,0.0001,0.8151529104729145
112,relu,0.0001,"(80,)",invscaling,0.0001,0.8149743154190962
113,relu,0.0001,"(80,)",adaptive,0.0001,0.8154109021064271
114,relu,0.0001,"(90,)",constant,0.0001,0.8154109139190504
115,relu,0.0001,"(90,)",invscaling,0.0001,0.8152918269245912
116,relu,0.0001,"(90,)",adaptive,0.0001,0.8155101202682568
117,relu,0.0001,"(100,)",constant,0.0001,0.8155101242057979
118,relu,0.0001,"(100,)",invscaling,0.0001,0.8155696637654863
119,relu,0.0001,"(100,)",adaptive,0.0001,0.8154902278103805
